Date,Close
3/12/2021 16:00:00,71.75
3/15/2021 16:00:00,72.79
3/16/2021 16:00:00,73.79
3/17/2021 16:00:00,74.95
3/18/2021 16:00:00,69.39
3/19/2021 16:00:00,73.01
3/22/2021 16:00:00,72.35
3/23/2021 16:00:00,71.24
3/24/2021 16:00:00,69.6
3/25/2021 16:00:00,68.21
3/26/2021 16:00:00,69.07
3/29/2021 16:00:00,69.38
3/30/2021 16:00:00,69.31
3/31/2021 16:00:00,74.03
4/1/2021 16:00:00,77.73
4/5/2021 16:00:00,79.53
4/6/2021 16:00:00,83.29
4/7/2021 16:00:00,83.8
4/8/2021 16:00:00,85.98
4/9/2021 16:00:00,85.53
4/12/2021 16:00:00,83.98
4/13/2021 16:00:00,83.9
4/14/2021 16:00:00,83.49
4/15/2021 16:00:00,84.43
4/16/2021 16:00:00,76.22
4/19/2021 16:00:00,73.91
4/20/2021 16:00:00,71.32
4/21/2021 16:00:00,72.51
4/22/2021 16:00:00,71.99
4/23/2021 16:00:00,74.99
4/26/2021 16:00:00,76.73
4/27/2021 16:00:00,77.58
4/28/2021 16:00:00,66.33
4/29/2021 16:00:00,68.21
4/30/2021 16:00:00,66.37
5/3/2021 16:00:00,63.71
5/4/2021 16:00:00,62.3
5/5/2021 16:00:00,61.83
5/6/2021 16:00:00,59.22
5/7/2021 16:00:00,59.86
5/10/2021 16:00:00,58.36
5/11/2021 16:00:00,59.71
5/12/2021 16:00:00,57.12
5/13/2021 16:00:00,55.45
5/14/2021 16:00:00,58.05
5/17/2021 16:00:00,58.1
5/18/2021 16:00:00,58.28
5/19/2021 16:00:00,58.63
5/20/2021 16:00:00,61.34
5/21/2021 16:00:00,60.86
5/24/2021 16:00:00,62.91
5/25/2021 16:00:00,63.76
5/26/2021 16:00:00,62.94
5/27/2021 16:00:00,64.3
5/28/2021 16:00:00,65.3
6/1/2021 16:00:00,64.37
6/2/2021 16:00:00,64.07
6/3/2021 16:00:00,62.61
6/4/2021 16:00:00,62.89
6/7/2021 16:00:00,65.43
6/8/2021 16:00:00,66.04
6/9/2021 16:00:00,66.12
6/10/2021 16:00:00,68.25
6/11/2021 16:00:00,68.18
6/14/2021 16:00:00,68.67
6/15/2021 16:00:00,70.54
6/16/2021 16:00:00,69.66
6/17/2021 16:00:00,73.14
6/18/2021 16:00:00,74.19
6/21/2021 16:00:00,71.13
6/22/2021 16:00:00,73.16
6/23/2021 16:00:00,74.79
6/24/2021 16:00:00,76.28
6/25/2021 16:00:00,76.84
6/28/2021 16:00:00,78.8
6/29/2021 16:00:00,78.67
6/30/2021 16:00:00,78.95
7/1/2021 16:00:00,79.86
7/2/2021 16:00:00,79.31
7/6/2021 16:00:00,80.29
7/7/2021 16:00:00,77.72
7/8/2021 16:00:00,75.88
7/9/2021 16:00:00,76.99
7/12/2021 16:00:00,73.34
7/13/2021 16:00:00,72.11
7/14/2021 16:00:00,69.76
7/15/2021 16:00:00,70.03
7/16/2021 16:00:00,68.73
7/19/2021 16:00:00,71.36
7/20/2021 16:00:00,71.43
7/21/2021 16:00:00,72.23
7/22/2021 16:00:00,72.71
7/23/2021 16:00:00,76.91
7/26/2021 16:00:00,76.49
7/27/2021 16:00:00,74.29
7/28/2021 16:00:00,76.65
7/29/2021 16:00:00,72.04
7/30/2021 16:00:00,58.9
8/2/2021 16:00:00,57.12
8/3/2021 16:00:00,60.01
8/4/2021 16:00:00,60.13
8/5/2021 16:00:00,60.33
8/6/2021 16:00:00,58.78
8/9/2021 16:00:00,58.85
8/10/2021 16:00:00,57.24
8/11/2021 16:00:00,56.8
8/12/2021 16:00:00,56.76
8/13/2021 16:00:00,56.06
8/16/2021 16:00:00,56.31
8/17/2021 16:00:00,56.1
8/18/2021 16:00:00,54.15
8/19/2021 16:00:00,52.6
8/20/2021 16:00:00,53.86
8/23/2021 16:00:00,54.73
8/24/2021 16:00:00,55.18
8/25/2021 16:00:00,56.17
8/26/2021 16:00:00,57.24
8/27/2021 16:00:00,57.22
8/30/2021 16:00:00,56.49
8/31/2021 16:00:00,55.57
9/1/2021 16:00:00,56.99
9/2/2021 16:00:00,56.88
9/3/2021 16:00:00,56.59
9/7/2021 16:00:00,55.74
9/8/2021 16:00:00,54.41
9/9/2021 16:00:00,55.12
9/10/2021 16:00:00,54.24
9/13/2021 16:00:00,55.13
9/14/2021 16:00:00,54.43
9/15/2021 16:00:00,54.23
9/16/2021 16:00:00,54.21
9/17/2021 16:00:00,54.77
9/20/2021 16:00:00,52.51
9/21/2021 16:00:00,52.42
9/22/2021 16:00:00,54.18
9/23/2021 16:00:00,54.02
9/24/2021 16:00:00,54.2
9/27/2021 16:00:00,53.77
9/28/2021 16:00:00,51.95
9/29/2021 16:00:00,50.37
9/30/2021 16:00:00,50.95
10/1/2021 16:00:00,52.62
10/4/2021 16:00:00,49.62
10/5/2021 16:00:00,50
10/6/2021 16:00:00,50.36
10/7/2021 16:00:00,51.81
10/8/2021 16:00:00,51.64
10/11/2021 16:00:00,50.93
10/12/2021 16:00:00,51.41
10/13/2021 16:00:00,51.57
10/14/2021 16:00:00,52.52
10/15/2021 16:00:00,52.67
10/18/2021 16:00:00,53.59
10/19/2021 16:00:00,55.58
10/20/2021 16:00:00,62.68
10/21/2021 16:00:00,61.35
10/22/2021 16:00:00,58.06
10/25/2021 16:00:00,50.68
10/26/2021 16:00:00,47.89
10/27/2021 16:00:00,45.36
10/28/2021 16:00:00,45.61
