Date,Close
3/12/2021 16:00:00,235.75
3/15/2021 16:00:00,234.81
3/16/2021 16:00:00,237.71
3/17/2021 16:00:00,237.04
3/18/2021 16:00:00,230.72
3/19/2021 16:00:00,230.35
3/22/2021 16:00:00,235.99
3/23/2021 16:00:00,237.58
3/24/2021 16:00:00,235.46
3/25/2021 16:00:00,232.34
3/26/2021 16:00:00,236.48
3/29/2021 16:00:00,235.24
3/30/2021 16:00:00,231.85
3/31/2021 16:00:00,235.77
4/1/2021 16:00:00,242.35
4/5/2021 16:00:00,249.07
4/6/2021 16:00:00,247.86
4/7/2021 16:00:00,249.9
4/8/2021 16:00:00,253.25
4/9/2021 16:00:00,255.85
4/12/2021 16:00:00,255.91
4/13/2021 16:00:00,258.49
4/14/2021 16:00:00,255.59
4/15/2021 16:00:00,259.5
4/16/2021 16:00:00,260.74
4/19/2021 16:00:00,258.74
4/20/2021 16:00:00,258.26
4/21/2021 16:00:00,260.58
4/22/2021 16:00:00,257.17
4/23/2021 16:00:00,261.15
4/26/2021 16:00:00,261.55
4/27/2021 16:00:00,261.97
4/28/2021 16:00:00,254.56
4/29/2021 16:00:00,252.51
4/30/2021 16:00:00,252.18
5/3/2021 16:00:00,251.86
5/4/2021 16:00:00,247.79
5/5/2021 16:00:00,246.47
5/6/2021 16:00:00,249.73
5/7/2021 16:00:00,252.46
5/10/2021 16:00:00,247.18
5/11/2021 16:00:00,246.23
5/12/2021 16:00:00,239
5/13/2021 16:00:00,243.03
5/14/2021 16:00:00,248.15
5/17/2021 16:00:00,245.18
5/18/2021 16:00:00,243.08
5/19/2021 16:00:00,243.12
5/20/2021 16:00:00,246.48
5/21/2021 16:00:00,245.17
5/24/2021 16:00:00,250.78
5/25/2021 16:00:00,251.72
5/26/2021 16:00:00,251.49
5/27/2021 16:00:00,249.31
5/28/2021 16:00:00,249.68
6/1/2021 16:00:00,247.4
6/2/2021 16:00:00,247.3
6/3/2021 16:00:00,245.71
6/4/2021 16:00:00,250.79
6/7/2021 16:00:00,253.81
6/8/2021 16:00:00,252.57
6/9/2021 16:00:00,253.59
6/10/2021 16:00:00,257.24
6/11/2021 16:00:00,257.89
6/14/2021 16:00:00,259.89
6/15/2021 16:00:00,258.36
6/16/2021 16:00:00,257.38
6/17/2021 16:00:00,260.9
6/18/2021 16:00:00,259.43
6/21/2021 16:00:00,262.63
6/22/2021 16:00:00,265.51
6/23/2021 16:00:00,265.27
6/24/2021 16:00:00,266.69
6/25/2021 16:00:00,265.02
6/28/2021 16:00:00,268.72
6/29/2021 16:00:00,271.4
6/30/2021 16:00:00,270.9
7/1/2021 16:00:00,271.6
7/2/2021 16:00:00,277.65
7/6/2021 16:00:00,277.66
7/7/2021 16:00:00,279.93
7/8/2021 16:00:00,277.42
7/9/2021 16:00:00,277.94
7/12/2021 16:00:00,277.32
7/13/2021 16:00:00,280.98
7/14/2021 16:00:00,282.51
7/15/2021 16:00:00,281.03
7/16/2021 16:00:00,280.75
7/19/2021 16:00:00,277.01
7/20/2021 16:00:00,279.32
7/21/2021 16:00:00,281.4
7/22/2021 16:00:00,286.14
7/23/2021 16:00:00,289.67
7/26/2021 16:00:00,289.05
7/27/2021 16:00:00,286.54
7/28/2021 16:00:00,286.22
7/29/2021 16:00:00,286.5
7/30/2021 16:00:00,284.91
8/2/2021 16:00:00,284.82
8/3/2021 16:00:00,287.12
8/4/2021 16:00:00,286.51
8/5/2021 16:00:00,289.52
8/6/2021 16:00:00,289.46
8/9/2021 16:00:00,288.33
8/10/2021 16:00:00,286.44
8/11/2021 16:00:00,286.95
8/12/2021 16:00:00,289.81
8/13/2021 16:00:00,292.85
8/16/2021 16:00:00,294.6
8/17/2021 16:00:00,293.08
8/18/2021 16:00:00,290.73
8/19/2021 16:00:00,296.77
8/20/2021 16:00:00,304.36
8/23/2021 16:00:00,304.65
8/24/2021 16:00:00,302.62
8/25/2021 16:00:00,302.01
8/26/2021 16:00:00,299.09
8/27/2021 16:00:00,299.72
8/30/2021 16:00:00,303.59
8/31/2021 16:00:00,301.88
9/1/2021 16:00:00,301.83
9/2/2021 16:00:00,301.15
9/3/2021 16:00:00,301.14
9/7/2021 16:00:00,300.18
9/8/2021 16:00:00,300.21
9/9/2021 16:00:00,297.25
9/10/2021 16:00:00,295.71
9/13/2021 16:00:00,296.99
9/14/2021 16:00:00,299.79
9/15/2021 16:00:00,304.82
9/16/2021 16:00:00,305.22
9/17/2021 16:00:00,299.87
9/20/2021 16:00:00,294.3
9/21/2021 16:00:00,294.8
9/22/2021 16:00:00,298.58
9/23/2021 16:00:00,299.56
9/24/2021 16:00:00,299.35
9/27/2021 16:00:00,294.17
9/28/2021 16:00:00,283.52
9/29/2021 16:00:00,284
9/30/2021 16:00:00,281.92
10/1/2021 16:00:00,289.1
10/4/2021 16:00:00,283.11
10/5/2021 16:00:00,288.76
10/6/2021 16:00:00,293.11
10/7/2021 16:00:00,294.85
10/8/2021 16:00:00,294.85
10/11/2021 16:00:00,294.23
10/12/2021 16:00:00,292.88
10/13/2021 16:00:00,296.31
10/14/2021 16:00:00,302.75
10/15/2021 16:00:00,304.21
10/18/2021 16:00:00,307.29
10/19/2021 16:00:00,308.23
10/20/2021 16:00:00,307.41
10/21/2021 16:00:00,310.76
10/22/2021 16:00:00,309.16
10/25/2021 16:00:00,308.13
10/26/2021 16:00:00,310.11
10/27/2021 16:00:00,323.17
10/28/2021 16:00:00,324.35
10/29/2021 16:00:00,331.62
11/1/2021 16:00:00,329.37
11/2/2021 16:00:00,333.13
11/3/2021 16:00:00,334
11/4/2021 16:00:00,336.44
11/5/2021 16:00:00,336.06
11/8/2021 16:00:00,336.99
11/9/2021 16:00:00,335.95
11/10/2021 16:00:00,330.8
11/11/2021 16:00:00,332.43
11/12/2021 16:00:00,336.72
11/15/2021 16:00:00,336.07
11/16/2021 16:00:00,339.51
11/17/2021 16:00:00,339.12
11/18/2021 16:00:00,341.27
11/19/2021 16:00:00,343.11
11/22/2021 16:00:00,339.83
11/23/2021 16:00:00,337.68
