Date,Close
3/12/2021 16:00:00,55.63
3/15/2021 16:00:00,55.64
3/16/2021 16:00:00,55.64
3/17/2021 16:00:00,55.75
3/18/2021 16:00:00,56.31
3/19/2021 16:00:00,56.24
3/22/2021 16:00:00,56.59
3/23/2021 16:00:00,56.91
3/24/2021 16:00:00,57.01
3/25/2021 16:00:00,57.38
3/26/2021 16:00:00,58.18
3/29/2021 16:00:00,58.83
3/30/2021 16:00:00,58.59
3/31/2021 16:00:00,58.15
4/1/2021 16:00:00,58.3
4/5/2021 16:00:00,58.87
4/6/2021 16:00:00,59.11
4/7/2021 16:00:00,59
4/8/2021 16:00:00,57.6
4/9/2021 16:00:00,57.49
4/12/2021 16:00:00,57.54
4/13/2021 16:00:00,57.62
4/14/2021 16:00:00,57.7
4/15/2021 16:00:00,57.7
4/16/2021 16:00:00,58.28
4/19/2021 16:00:00,58.39
4/20/2021 16:00:00,58.39
4/21/2021 16:00:00,58.14
4/22/2021 16:00:00,57.28
4/23/2021 16:00:00,57.3
4/26/2021 16:00:00,56.94
4/27/2021 16:00:00,56.32
4/28/2021 16:00:00,56.43
4/29/2021 16:00:00,57.32
4/30/2021 16:00:00,57.79
5/3/2021 16:00:00,57.92
5/4/2021 16:00:00,58.6
5/5/2021 16:00:00,58.69
5/6/2021 16:00:00,59.29
5/7/2021 16:00:00,58.72
5/10/2021 16:00:00,59.52
5/11/2021 16:00:00,58.54
5/12/2021 16:00:00,58.41
5/13/2021 16:00:00,58.81
5/14/2021 16:00:00,58.69
5/17/2021 16:00:00,57.94
5/18/2021 16:00:00,57.18
5/19/2021 16:00:00,56.92
5/20/2021 16:00:00,56.79
5/21/2021 16:00:00,56.91
5/24/2021 16:00:00,56.98
5/25/2021 16:00:00,56.48
5/26/2021 16:00:00,56.36
5/27/2021 16:00:00,56.29
5/28/2021 16:00:00,56.49
6/1/2021 16:00:00,56.38
6/2/2021 16:00:00,56.65
6/3/2021 16:00:00,56.98
6/4/2021 16:00:00,57.3
6/7/2021 16:00:00,57.2
6/8/2021 16:00:00,57.15
6/9/2021 16:00:00,57.05
6/10/2021 16:00:00,57.34
6/11/2021 16:00:00,57.33
6/14/2021 16:00:00,57.18
6/15/2021 16:00:00,57.29
6/16/2021 16:00:00,56.64
6/17/2021 16:00:00,56.53
6/18/2021 16:00:00,55.82
6/21/2021 16:00:00,56.39
6/22/2021 16:00:00,56.37
6/23/2021 16:00:00,56.07
6/24/2021 16:00:00,56.37
6/25/2021 16:00:00,56.38
6/28/2021 16:00:00,56.18
6/29/2021 16:00:00,55.84
6/30/2021 16:00:00,56.03
7/1/2021 16:00:00,56.29
7/2/2021 16:00:00,56.44
7/6/2021 16:00:00,56.41
7/7/2021 16:00:00,56.53
7/8/2021 16:00:00,55.68
7/9/2021 16:00:00,56.07
7/12/2021 16:00:00,56.15
7/13/2021 16:00:00,56.09
7/14/2021 16:00:00,56.32
7/15/2021 16:00:00,56.55
7/16/2021 16:00:00,56.46
7/19/2021 16:00:00,55.84
7/20/2021 16:00:00,55.58
7/21/2021 16:00:00,55.95
7/22/2021 16:00:00,55.95
7/23/2021 16:00:00,55.88
7/26/2021 16:00:00,55.78
7/27/2021 16:00:00,56.2
7/28/2021 16:00:00,55.72
7/29/2021 16:00:00,55.98
7/30/2021 16:00:00,55.78
8/2/2021 16:00:00,55.76
8/3/2021 16:00:00,55.73
8/4/2021 16:00:00,55.37
8/5/2021 16:00:00,55.3
8/6/2021 16:00:00,55.22
8/9/2021 16:00:00,55.12
8/10/2021 16:00:00,55.48
8/11/2021 16:00:00,55.57
8/12/2021 16:00:00,55.64
8/13/2021 16:00:00,55.87
8/16/2021 16:00:00,55.98
